Arrival_CV,Lambda,Num_Servers,R0_Mean,R0_HW,Convergence_Status,Convergence_Jobs,Convergence_Time,Batch_Warmup_Jobs
4,0,2,00,1,0,7954,0,0065,CONVERGED,80000,40216,1528,400000
4,0,3,50,1,3,1362,0,0442,CONVERGED,240000,68649,9487,1200000
4,0,5,00,1,5,5130,0,0283,CONVERGED,90000,18039,1837,450000
4,0,6,50,1,5,8808,0,0334,CONVERGED,90000,13877,2792,450000
4,0,8,00,1,NaN,NaN,INCONCLUSIVE,940000,117736,6654,0
4,0,9,50,1,NaN,NaN,SKIPPED_AFTER_INCONCLUSIVE,0,NaN,0
4,0,11,00,1,NaN,NaN,SKIPPED_AFTER_INCONCLUSIVE,0,NaN,0
4,0,2,00,2,0,3147,0,0013,CONVERGED,60000,30299,9780,300000
4,0,3,50,2,0,4425,0,0027,CONVERGED,70000,20148,6818,350000
4,0,5,00,2,0,7316,0,0077,CONVERGED,90000,18030,7208,450000
4,0,6,50,2,1,5519,0,0309,CONVERGED,380000,58512,7323,1900000
4,0,8,00,2,4,4585,0,0878,CONVERGED,240000,30028,2010,1200000
4,0,9,50,2,6,5519,0,0418,CONVERGED,140000,14772,3427,700000
4,0,11,00,2,7,7255,0,1140,CONVERGED,140000,12743,7980,700000
4,0,2,00,3,0,2635,0,0006,CONVERGED,60000,30295,7924,300000
4,0,3,50,3,0,2969,0,0008,CONVERGED,60000,17318,3643,300000
4,0,5,00,3,0,3563,0,0012,CONVERGED,60000,12119,0956,300000
4,0,6,50,3,0,4608,0,0022,CONVERGED,120000,18454,4819,600000
4,0,8,00,3,0,6542,0,0046,CONVERGED,240000,30022,7770,1200000
4,0,9,50,3,1,0545,0,0117,CONVERGED,240000,25289,8645,1200000
4,0,11,00,3,NaN,NaN,INCONCLUSIVE,940000,85595,0992,0
4,0,2,00,4,0,2524,0,0005,CONVERGED,60000,29878,7895,300000
4,0,3,50,4,0,2633,0,0006,CONVERGED,60000,17073,4041,300000
4,0,5,00,4,0,2843,0,0007,CONVERGED,60000,12123,7277,300000
4,0,6,50,4,0,3186,0,0010,CONVERGED,60000,9322,9966,300000
4,0,8,00,4,0,3722,0,0014,CONVERGED,60000,7575,1901,300000
4,0,9,50,4,0,4573,0,0023,CONVERGED,90000,9490,2654,450000
4,0,11,00,4,0,5955,0,0040,CONVERGED,240000,21837,1172,1200000
4,0,2,00,5,0,2501,0,0007,CONVERGED,60000,29878,7751,300000
4,0,3,50,5,0,2533,0,0007,CONVERGED,60000,17073,4032,300000
4,0,5,00,5,0,2614,0,0008,CONVERGED,60000,12120,7046,300000
4,0,6,50,5,0,2757,0,0010,CONVERGED,60000,9322,8799,300000
4,0,8,00,5,0,2978,0,0012,CONVERGED,60000,7574,7532,300000
4,0,9,50,5,0,3303,0,0015,CONVERGED,60000,6375,9617,300000
4,0,11,00,5,0,3776,0,0020,CONVERGED,70000,6407,9925,350000
